t [s]               T [K]               Xfront [mm]         sdot [mm/s]         dodt [kg/m^2s]      dcodt [kg/m^2s]     dco2dt [kg/m^2s]    dcdt [kg/m^2s]      dc2dt [kg/m^2s]     dc3dt [kg/m^2s]     
0                   800                 0                   0                   0                   0                   0                   0                   0                   0                   
0.005               814.869             1.53983e-06         0.000307967         0.00182786          0.00110024          0.000275406         1.48868e-37         2.09647e-42         1.37282e-39         
0.01                826.844             3.08837e-06         0.000309707         0.00183431          0.00112594          0.000246346         6.79913e-37         1.20044e-41         7.14804e-39         
0.015               836.958             4.65839e-06         0.000314004         0.00183201          0.00115751          0.00022469          2.37041e-36         5.04036e-41         2.77556e-38         
0.02                845.801             6.25678e-06         0.000319678         0.00182478          0.00119186          0.000207651         6.89298e-36         1.71819e-40         8.84965e-38         
0.025               853.731             7.88763e-06         0.00032617          0.00181449          0.00122761          0.000193715         1.76164e-35         5.04964e-40         2.45241e-37         
0.03                860.974             9.55355e-06         0.000333185         0.00180215          0.00126413          0.000181991         4.08848e-35         1.32847e-39         6.12036e-37         
0.035               867.68              1.12563e-05         0.000340556         0.00178837          0.00130107          0.000171914         8.80421e-35         3.20691e-39         1.40813e-36         
0.04                873.956             1.29972e-05         0.000348178         0.00177353          0.00133824          0.000163111         1.78547e-34         7.22567e-39         3.03522e-36         
0.045               879.875             1.47772e-05         0.000355986         0.00175788          0.00137554          0.00015532          3.44647e-34         1.53828e-38         6.20082e-36         
0.05                885.495             1.65968e-05         0.000363934         0.00174161          0.00141289          0.000148353         6.38247e-34         3.12253e-38         1.211e-35           
0.055               890.858             1.84568e-05         0.000371988         0.00172483          0.00145024          0.000142069         1.14082e-33         6.08553e-38         2.27576e-35         
0.06                895.998             2.03574e-05         0.000380127         0.00170764          0.00148759          0.000136358         1.97746e-33         1.14491e-37         4.13639e-35         
0.065               900.941             2.22991e-05         0.000388333         0.00169012          0.00152489          0.000131138         3.33659e-33         2.08836e-37         7.3015e-35          
0.07                905.71              2.4282e-05          0.000396592         0.00167232          0.00156215          0.00012634          5.49713e-33         3.70627e-37         1.25588e-34         
0.075               910.324             2.63065e-05         0.000404895         0.00165428          0.00159936          0.00012191          8.86563e-33         6.41845e-37         2.11068e-34         
0.08                914.796             2.83727e-05         0.000413233         0.00163604          0.00163651          0.000117802         1.40263e-32         1.08728e-36         3.47407e-34         
0.085               919.141             3.04807e-05         0.000421601         0.00161763          0.0016736           0.000113979         2.18083e-32         1.8054e-36          5.61107e-34         
0.09                923.368             3.26306e-05         0.000429994         0.00159906          0.00171063          0.00011041          3.3374e-32          2.94365e-36         8.90776e-34         
0.095               927.489             3.48227e-05         0.000438408         0.00158036          0.0017476           0.000107069         5.03364e-32         4.72005e-36         1.39198e-33         
0.1                 931.51              3.70569e-05         0.000446839         0.00156155          0.00178452          0.000103931         7.49105e-32         7.45298e-36         2.14379e-33         
0.105               935.44              3.93333e-05         0.000455285         0.00154263          0.00182138          0.000100979         1.10111e-31         1.16022e-35         3.25759e-33         
0.11                939.285             4.1652e-05          0.000463744         0.00152363          0.00185819          9.81941e-05         1.60005e-31         1.78247e-35         4.88872e-33         
0.115               943.05              4.40131e-05         0.000472214         0.00150454          0.00189494          9.5562e-05          2.30035e-31         2.70504e-35         7.25189e-33         
0.12                946.741             4.64166e-05         0.000480694         0.00148538          0.00193165          9.30695e-05         3.27432e-31         4.05829e-35         1.06414e-32         
0.125               950.361             4.88625e-05         0.000489182         0.00146615          0.00196831          9.07053e-05         4.6173e-31          6.02352e-35         1.54574e-32         
0.13                953.917             5.13509e-05         0.000497678         0.00144686          0.00200492          8.84589e-05         6.45421e-31         8.85069e-35         2.224e-32           
0.135               957.41              5.38818e-05         0.00050618          0.00142751          0.0020415           8.63214e-05         8.94768e-31         1.2882e-34          3.17128e-32         
0.14                960.845             5.64552e-05         0.000514689         0.00140812          0.00207803          8.42844e-05         1.23081e-30         1.85823e-34         4.48391e-32         
0.145               964.224             5.90712e-05         0.000523203         0.00138867          0.00211453          8.23409e-05         1.68064e-30         2.6579e-34          6.28933e-32         
0.15                967.551             6.17298e-05         0.000531723         0.00136919          0.002151            8.04841e-05         2.27891e-30         3.77136e-34         8.75507e-32         
0.155               970.828             6.44311e-05         0.000540247         0.00134966          0.00218743          7.8708e-05          3.06976e-30         5.31072e-34         1.21002e-31         
0.16                974.057             6.71749e-05         0.000548775         0.00133009          0.00222384          7.70074e-05         4.10912e-30         7.42454e-34         1.66094e-31         
0.165               977.241             6.99615e-05         0.000557308         0.00131049          0.00226022          7.53773e-05         5.46754e-30         1.03085e-33         2.26513e-31         
0.17                980.382             7.27907e-05         0.000565845         0.00129086          0.00229657          7.38132e-05         7.23361e-30         1.42192e-33         3.06999e-31         
0.175               983.481             7.56626e-05         0.000574385         0.00127119          0.0023329           7.23111e-05         9.51812e-30         1.9491e-33          4.13627e-31         
0.18                986.54              7.85773e-05         0.00058293          0.00125149          0.0023692           7.08671e-05         1.2459e-29          2.65579e-33         5.54145e-31         
0.185               989.561             8.15347e-05         0.000591478         0.00123177          0.00240549          6.9478e-05          1.62275e-29         3.59803e-33         7.3839e-31          
0.19                992.546             8.45348e-05         0.000600029         0.00121201          0.00244176          6.81404e-05         2.10351e-29         4.84787e-33         9.78799e-31         
0.195               995.496             8.75777e-05         0.000608584         0.00119224          0.00247801          6.68516e-05         2.71422e-29         6.49757e-33         1.29104e-30         
0.2                 998.412             9.06635e-05         0.000617143         0.00117243          0.00251425          6.56088e-05         3.48687e-29         8.66474e-33         1.69476e-30         
0.205               1001.3              9.3792e-05          0.000625705         0.00115261          0.00255047          6.44095e-05         4.46055e-29         1.14987e-32         2.21453e-30         
0.21                1004.15             9.69633e-05         0.000634271         0.00113275          0.00258669          6.32514e-05         5.68296e-29         1.51884e-32         2.88095e-30         
0.215               1006.97             0.000100178         0.00064284          0.00111288          0.00262289          6.21325e-05         7.21203e-29         1.99718e-32         3.73198e-30         
0.22                1009.76             0.000103435         0.000651412         0.00109299          0.00265908          6.10506e-05         9.11802e-29         2.61481e-32         4.81462e-30         
0.225               1012.53             0.000106735         0.000659988         0.00107307          0.00269527          6.0004e-05          1.14858e-28         3.40914e-32         6.18679e-30         
0.23                1015.26             0.000110077         0.000668568         0.00105313          0.00273145          5.89909e-05         1.44176e-28         4.42684e-32         7.91971e-30         
0.235               1017.97             0.000113463         0.000677151         0.00103318          0.00276762          5.80097e-05         1.80364e-28         5.72594e-32         1.01007e-29         
0.24                1020.66             0.000116892         0.000685738         0.0010132           0.00280379          5.70589e-05         2.24895e-28         7.37838e-32         1.28363e-29         
0.245               1023.32             0.000120363         0.000694328         0.000993206         0.00283995          5.61371e-05         2.79531e-28         9.47305e-32         1.62567e-29         
0.25                1025.96             0.000123878         0.000702922         0.000973192         0.00287611          5.52429e-05         3.46373e-28         1.21194e-31         2.05198e-29         
0.255               1028.57             0.000127436         0.00071152          0.000953159         0.00291228          5.43752e-05         4.2792e-28          1.54521e-31         2.5817e-29          
0.26                1031.16             0.000131036         0.000720121         0.000933108         0.00294844          5.35327e-05         5.27141e-28         1.9636e-31          3.238e-29           
0.265               1033.73             0.00013468          0.000728727         0.00091304          0.0029846           5.27144e-05         6.47552e-28         2.48725e-31         4.0488e-29          
0.27                1036.28             0.000138367         0.000737336         0.000892954         0.00302076          5.19193e-05         7.93307e-28         3.14073e-31         5.04769e-29         
0.275               1038.8              0.000142096         0.000745949         0.000872851         0.00305692          5.11462e-05         9.69308e-28         3.95387e-31         6.275e-29           
0.28                1041.31             0.000145869         0.000754566         0.000852731         0.00309309          5.03944e-05         1.18132e-27         4.96291e-31         7.77903e-29         
0.285               1043.8              0.000149685         0.000763187         0.000832594         0.00312926          4.9663e-05          1.43613e-27         6.21163e-31         9.61747e-29         
0.29                1046.27             0.000153544         0.000771812         0.00081244          0.00316544          4.89511e-05         1.74166e-27         7.75294e-31         1.18591e-28         
0.295               1048.72             0.000157446         0.000780441         0.00079227          0.00320162          4.8258e-05          2.10723e-27         9.65051e-31         1.45859e-28         
0.3                 1051.15             0.000161392         0.000789075         0.000772083         0.0032378           4.75829e-05         2.54368e-27         1.19809e-30         1.78949e-28         
0.305               1053.56             0.00016538          0.000797712         0.000751881         0.003274            4.69251e-05         3.06368e-27         1.48359e-30         2.19015e-28         
0.31                1055.96             0.000169412         0.000806354         0.000731662         0.00331019          4.6284e-05          3.68196e-27         1.83253e-30         2.67418e-28         
0.315               1058.33             0.000173487         0.000814999         0.000711427         0.0033464           4.5659e-05          4.41563e-27         2.25804e-30         3.25766e-28         
0.32                1060.7              0.000177605         0.000823649         0.000691177         0.00338261          4.50495e-05         5.28456e-27         2.77574e-30         3.95955e-28         
0.325               1063.04             0.000181767         0.000832304         0.000670911         0.00341884          4.44548e-05         6.31174e-27         3.40424e-30         4.80214e-28         
0.33                1065.37             0.000185972         0.000840963         0.00065063          0.00345507          4.38745e-05         7.52375e-27         4.16562e-30         5.81159e-28         
0.335               1067.69             0.00019022          0.000849626         0.000630333         0.00349131          4.3308e-05          8.95129e-27         5.08606e-30         7.01857e-28         
0.34                1069.99             0.000194511         0.000858293         0.000610021         0.00352756          4.27549e-05         1.06297e-26         6.1965e-30          8.45899e-28         
