t                   T                   sdot_tot            Xfront              
0                   800                 0                   0                   
0.01            824.56          0.000309084    3.09084e-06    
0.02            843.173         0.000317814    6.26898e-06    
0.03            858.345         0.000330523    9.57421e-06    
0.04            871.336         0.000344913    1.30233e-05    
0.05            882.833         0.000360105    1.66244e-05    
0.06            893.239         0.000375709    2.03815e-05    
0.07            902.81          0.00039153     2.42968e-05    
0.08            911.716         0.000407461    2.83714e-05    
0.09            920.078         0.00042344     3.26058e-05    
0.1             927.982         0.00043943     3.70001e-05    
0.11            935.496         0.000455407    4.15542e-05    
0.12            942.672         0.000471357    4.62677e-05    
0.13            949.552         0.00048727     5.11404e-05    
0.14            956.168         0.000503141    5.61718e-05    
0.15            962.55          0.000518966    6.13615e-05    
0.16            968.718         0.000534744    6.67089e-05    
0.17            974.695         0.000550474    7.22137e-05    
0.18            980.495         0.000566155    7.78752e-05    
0.19            986.134         0.000581789    8.36931e-05    
0.2             991.624         0.000597376    8.96669e-05    
0.21            996.976         0.000612917    9.57961e-05    
0.22            1002.2          0.000628413    0.00010208     
0.23            1007.31         0.000643866    0.000108519    
0.24            1012.3          0.000659276    0.000115112    
0.25            1017.19         0.000674644    0.000121858    
0.26            1021.98         0.000689973    0.000128758    
0.27            1026.67         0.000705263    0.00013581     
0.28            1031.28         0.000720516    0.000143016    
0.29            1035.81         0.000735732    0.000150373    
0.3             1040.25         0.000750912    0.000157882    
0.31            1044.62         0.000766058    0.000165543    
0.32            1048.92         0.000781171    0.000173354    
0.33            1053.15         0.000796252    0.000181317    
0.34            1057.32         0.000811301    0.00018943     
0.35            1061.42         0.00082632     0.000197693    
0.36            1065.47         0.000841309    0.000206106    
0.37            1069.45         0.000856269    0.000214669    
0.38            1073.39         0.000871201    0.000223381    
0.39            1077.26         0.000886106    0.000232242    
0.4             1081.09         0.000900984    0.000241252    
0.41            1084.87         0.000915836    0.00025041     
0.42            1088.61         0.000930662    0.000259717    
0.43            1092.29         0.000945464    0.000269171    
0.44            1095.94         0.000960242    0.000278774    
0.45            1099.54         0.000974995    0.000288524    
0.46            1103.1          0.000989726    0.000298421    
0.47            1106.62         0.00100443     0.000308465    
0.48            1110.1          0.00101912     0.000318657    
0.49            1113.54         0.00103378     0.000328994    
0.5             1116.95         0.00104843     0.000339479    
0.51            1120.32         0.00106305     0.000350109    
0.52            1123.66         0.00107765     0.000360886    
0.53            1126.97         0.00109223     0.000371808    
0.54            1130.24         0.00110679     0.000382876    
0.55            1133.48         0.00112133     0.000394089    
0.56            1136.7          0.00113585     0.000405448    
0.57            1139.88         0.00115036     0.000416951    
0.58            1143.03         0.00116484     0.0004286      
0.59            1146.16         0.00117931     0.000440393    
0.6             1149.25         0.00119375     0.00045233     
0.61            1152.33         0.00120819     0.000464412    
0.62            1155.37         0.0012226      0.000476638    
0.63            1158.39         0.00123699     0.000489008    
0.64            1161.39         0.00125137     0.000501522    
0.65            1164.36         0.00126573     0.000514179    
0.66            1167.3          0.00128008     0.00052698     
0.67            1170.23         0.0012944      0.000539924    
0.68            1173.13         0.00130872     0.000553011    
0.69            1176            0.00132301     0.000566241    
0.7             1178.86         0.00133729     0.000579614    
0.71            1181.7          0.00135155     0.000593129    
0.72            1184.51         0.0013658      0.000606787    
0.73            1187.31         0.00138003     0.000620588    
0.74            1190.08         0.00139424     0.00063453     
0.75            1192.83         0.00140844     0.000648615    
0.76            1195.57         0.00142263     0.000662841    
0.77            1198.29         0.0014368      0.000677209    
0.78            1200.98         0.00145095     0.000691718    
0.79            1203.66         0.00146509     0.000706369    
0.8             1206.32         0.00147921     0.000721161    
0.81            1208.97         0.00149332     0.000736095    
0.82            1211.6          0.00150741     0.000751169    
0.83            1214.21         0.00152149     0.000766384    
0.84            1216.8          0.00153555     0.000781739    
0.85            1219.38         0.0015496      0.000797235    
0.86            1221.94         0.00156363     0.000812872    
0.87            1224.48         0.00157765     0.000828648    
0.88            1227.02         0.00159165     0.000844565    
0.89            1229.53         0.00160564     0.000860621    
0.9             1232.03         0.00161961     0.000876817    
0.91            1234.52         0.00163357     0.000893153    
0.92            1236.99         0.00164751     0.000909628    
0.93            1239.44         0.00166143     0.000926242    
0.94            1241.89         0.00167534     0.000942995    
0.95            1244.32         0.00168923     0.000959888    
0.96            1246.73         0.00170311     0.000976919    
0.97            1249.13         0.00171697     0.000994089    
0.98            1251.52         0.00173082     0.0010114      
0.99            1253.9          0.00174465     0.00102884     
1               1256.26         0.00175846     0.00104643     
1.01            1258.61         0.00177226     0.00106415     
1.02            1260.95         0.00178603     0.00108201     
1.03            1263.27         0.0017998      0.00110001     
1.04            1265.59         0.00181354     0.00111814     
1.05            1267.89         0.00182727     0.00113642     
1.06            1270.18         0.00184097     0.00115483     
1.07            1272.46         0.00185466     0.00117337     
1.08            1274.72         0.00186833     0.00119206     
1.09            1276.98         0.00188199     0.00121088     
1.1             1279.23         0.00189562     0.00122983     
1.11            1281.46         0.00190923     0.00124892     
1.12            1283.68         0.00192282     0.00126815     
1.13            1285.89         0.00193639     0.00128752     
1.14            1288.1          0.00194994     0.00130702     
1.15            1290.29         0.00196347     0.00132665     
1.16            1292.47         0.00197698     0.00134642     
1.17            1294.64         0.00199046     0.00136633     
1.18            1296.8          0.00200392     0.00138636     
1.19            1298.95         0.00201736     0.00140654     
1.2             1301.09         0.00203077     0.00142685     
1.21            1303.22         0.00204415     0.00144729     
1.22            1305.35         0.00205751     0.00146786     
1.23            1307.46         0.00207085     0.00148857     
1.24            1309.56         0.00208415     0.00150941     
1.25            1311.65         0.00209743     0.00153039     
1.26            1313.74         0.00211068     0.00155149     
1.27            1315.82         0.00212389     0.00157273     
1.28            1317.88         0.00213708     0.0015941      
1.29            1319.94         0.00215023     0.00161561     
1.3             1321.99         0.00216335     0.00163724     
1.31            1324.03         0.00217644     0.001659       
1.32            1326.06         0.00218949     0.0016809      
1.33            1328.09         0.00220251     0.00170292     
1.34            1330.1          0.00221549     0.00172508     
1.35            1332.11         0.00222842     0.00174736     
1.36            1334.11         0.00224132     0.00176978     
1.37            1336.1          0.00225418     0.00179232     
1.38            1338.08         0.00226699     0.00181499     
1.39            1340.06         0.00227976     0.00183779     
1.4             1342.03         0.00229249     0.00186071     
1.41            1343.99         0.00230517     0.00188376     
1.42            1345.94         0.00231779     0.00190694     
1.43            1347.88         0.00233037     0.00193024     
1.44            1349.82         0.0023429      0.00195367     
1.45            1351.75         0.00235537     0.00197723     
1.46            1353.67         0.00236779     0.0020009      
1.47            1355.59         0.00238014     0.00202471     
1.48            1357.5          0.00239244     0.00204863     
1.49            1359.4          0.00240468     0.00207268     
1.5             1361.29         0.00241685     0.00209685     
1.51            1363.18         0.00242896     0.00212114     
1.52            1365.06         0.002441       0.00214555     
1.53            1366.93         0.00245297     0.00217007     
1.54            1368.8          0.00246486     0.00219472     
1.55            1370.66         0.00247668     0.00221949     
1.56            1372.51         0.00248842     0.00224437     
1.57            1374.36         0.00250009     0.00226938     
1.58            1376.2          0.00251167     0.00229449     
1.59            1378.03         0.00252316     0.00231972     
1.6             1379.86         0.00253457     0.00234507     
1.61            1381.68         0.00254588     0.00237053     
1.62            1383.49         0.0025571      0.0023961      
1.63            1385.3          0.00256822     0.00242178     
1.64            1387.1          0.00257925     0.00244757     
1.65            1388.9          0.00259017     0.00247348     
1.66            1390.69         0.00260098     0.00249949     
1.67            1392.47         0.00261168     0.0025256      
1.68            1394.25         0.00262227     0.00255182     
1.69            1396.02         0.00263275     0.00257815     
1.7             1397.79         0.0026431      0.00260458     
1.71            1399.55         0.00265333     0.00263112     
1.72            1401.3          0.00266343     0.00265775     
1.73            1403.05         0.0026734      0.00268449     
1.74            1404.79         0.00268324     0.00271132     
1.75            1406.53         0.00269294     0.00273825     
1.76            1408.26         0.00270249     0.00276527     
1.77            1409.99         0.0027119      0.00279239     
1.78            1411.71         0.00272116     0.0028196      
1.79            1413.42         0.00273026     0.0028469      
1.8             1415.13         0.0027392      0.0028743      
1.81            1416.83         0.00274799     0.00290178     
1.82            1418.53         0.0027566      0.00292934     
1.83            1420.23         0.00276504     0.00295699     
1.84            1421.92         0.00277331     0.00298473     
1.85            1423.6          0.00278139     0.00301254     
1.86            1425.28         0.00278929     0.00304043     
1.87            1426.95         0.002797       0.0030684      
1.88            1428.62         0.00280452     0.00309645     
1.89            1430.28         0.00281184     0.00312457     
1.9             1431.94         0.00281895     0.00315276     
1.91            1433.59         0.00282586     0.00318101     
1.92            1435.24         0.00283255     0.00320934     
1.93            1436.88         0.00283903     0.00323773     
1.94            1438.52         0.00284529     0.00326618     
1.95            1440.15         0.00285132     0.0032947      
1.96            1441.78         0.00285712     0.00332327     
1.97            1443.41         0.00286269     0.00335189     
1.98            1445.03         0.00286801     0.00338058     
1.99            1446.64         0.00287309     0.00340931     
2               1448.25         0.00287793     0.00343809     
2.01            1449.86         0.00288251     0.00346691     
2.02            1451.46         0.00288683     0.00349578     
2.03            1453.05         0.00289089     0.00352469     
2.04            1454.65         0.00289468     0.00355363     
