ns                  t [s]               T [K]               y_c10h160           y_n2                y_o2                y_ar                
0                   0                   297                 0                   0.78                0.21                0.01                
1                   1e-06               303.625             0.00169776          0.778676            0.209643            0.00998302          
2                   2e-06               304.627             0.00181456          0.778585            0.209619            0.00998185          
3                   3e-06               305.555             0.00192912          0.778495            0.209595            0.00998071          
4                   4e-06               306.42              0.00204163          0.778408            0.209571            0.00997958          
5                   5e-06               307.23              0.00215227          0.778321            0.209548            0.00997848          
6                   6e-06               307.992             0.00226125          0.778236            0.209525            0.00997739          
7                   7e-06               308.713             0.00236876          0.778152            0.209503            0.00997631          
8                   8e-06               309.397             0.00247497          0.77807             0.20948             0.00997525          
9                   9e-06               310.048             0.00258006          0.777988            0.209458            0.0099742           
10                  1e-05               310.671             0.00268418          0.777906            0.209436            0.00997316          
11                  1.1e-05             311.268             0.00278748          0.777826            0.209415            0.00997213          
12                  1.2e-05             311.841             0.00289006          0.777746            0.209393            0.0099711           
13                  1.3e-05             312.394             0.00299206          0.777666            0.209372            0.00997008          
14                  1.4e-05             312.928             0.00309357          0.777587            0.20935             0.00996906          
15                  1.5e-05             313.444             0.00319467          0.777508            0.209329            0.00996805          
16                  1.6e-05             313.945             0.00329545          0.77743             0.209308            0.00996705          
17                  1.7e-05             314.431             0.00339598          0.777351            0.209287            0.00996604          
18                  1.8e-05             314.903             0.00349631          0.777273            0.209266            0.00996504          
19                  1.9e-05             315.364             0.00359652          0.777195            0.209245            0.00996403          
20                  2e-05               315.812             0.00369663          0.777117            0.209224            0.00996303          
21                  2.1e-05             316.25              0.00379671          0.777039            0.209203            0.00996203          
22                  2.2e-05             316.678             0.00389678          0.776961            0.209182            0.00996103          
23                  2.3e-05             317.096             0.00399689          0.776882            0.209161            0.00996003          
24                  2.4e-05             317.506             0.00409706          0.776804            0.20914             0.00995903          
25                  2.5e-05             317.907             0.00419732          0.776726            0.209119            0.00995803          
26                  2.6e-05             318.301             0.00429769          0.776648            0.209097            0.00995702          
27                  2.7e-05             318.686             0.00439821          0.776569            0.209076            0.00995602          
28                  2.8e-05             319.065             0.00449889          0.776491            0.209055            0.00995501          
29                  2.9e-05             319.437             0.00459974          0.776412            0.209034            0.009954            
30                  3e-05               319.803             0.00470078          0.776333            0.209013            0.00995299          
31                  3.1e-05             320.163             0.00480204          0.776254            0.208992            0.00995198          
32                  3.2e-05             320.517             0.00490352          0.776175            0.20897             0.00995096          
33                  3.3e-05             320.865             0.00500523          0.776096            0.208949            0.00994995          
34                  3.4e-05             321.208             0.00510719          0.776016            0.208927            0.00994893          
35                  3.5e-05             321.546             0.0052094           0.775937            0.208906            0.00994791          
36                  3.6e-05             321.879             0.00531188          0.775857            0.208885            0.00994688          
37                  3.7e-05             322.208             0.00541463          0.775777            0.208863            0.00994585          
38                  3.8e-05             322.532             0.00551766          0.775696            0.208841            0.00994482          
39                  3.9e-05             322.851             0.00562098          0.775616            0.20882             0.00994379          
40                  4e-05               323.166             0.00572459          0.775535            0.208798            0.00994275          
41                  4.1e-05             323.478             0.00582851          0.775454            0.208776            0.00994171          
42                  4.2e-05             323.785             0.00593272          0.775372            0.208754            0.00994067          
43                  4.3e-05             324.089             0.00603725          0.775291            0.208732            0.00993963          
44                  4.4e-05             324.389             0.00614209          0.775209            0.20871             0.00993858          
45                  4.5e-05             324.686             0.00624724          0.775127            0.208688            0.00993753          
46                  4.6e-05             324.979             0.00635272          0.775045            0.208666            0.00993647          
47                  4.7e-05             325.269             0.00645852          0.774962            0.208644            0.00993541          
48                  4.8e-05             325.555             0.00656464          0.77488             0.208621            0.00993435          
49                  4.9e-05             325.839             0.0066711           0.774797            0.208599            0.00993329          
50                  5e-05               326.119             0.00677788          0.774713            0.208577            0.00993222          
51                  5.1e-05             326.397             0.006885            0.77463             0.208554            0.00993115          
52                  5.2e-05             326.672             0.00699246          0.774546            0.208532            0.00993008          
53                  5.3e-05             326.944             0.00710024          0.774462            0.208509            0.009929            
54                  5.4e-05             327.213             0.00720837          0.774377            0.208486            0.00992792          
55                  5.5e-05             327.48              0.00731683          0.774293            0.208463            0.00992683          
56                  5.6e-05             327.744             0.00742563          0.774208            0.208441            0.00992574          
57                  5.7e-05             328.005             0.00753477          0.774123            0.208418            0.00992465          
58                  5.8e-05             328.265             0.00764425          0.774037            0.208395            0.00992356          
59                  5.9e-05             328.522             0.00775408          0.773952            0.208372            0.00992246          
60                  6e-05               328.776             0.00786424          0.773866            0.208349            0.00992136          
61                  6.1e-05             329.028             0.00797475          0.77378             0.208325            0.00992025          
62                  6.2e-05             329.278             0.0080856           0.773693            0.208302            0.00991914          
63                  6.3e-05             329.526             0.00819679          0.773607            0.208279            0.00991803          
64                  6.4e-05             329.772             0.00830832          0.77352             0.208255            0.00991692          
