t [s]               T [K]               y_o                 y_co                y_co2               y_c                 y_c2                y_c3                y_o2                y_n2                y_n                 y_no                
0                   800                 0.0217              0                   0                   0                   0                   0                   0.08                0.375               0.0013              0.022               
0.005               814.871             0.0438615           0.000300642         7.52531e-05         4.05715e-37         5.7056e-42          3.75153e-39         0.15986             0.749343            0.00259772          0.0439615           
0.01                826.849             0.0438632           0.000307667         6.73115e-05         1.85349e-36         3.2681e-41          1.95388e-38         0.15986             0.749343            0.00259772          0.0439614           
0.015               836.964             0.0438625           0.000316297         6.1393e-05          6.4633e-36          1.37255e-40         7.58849e-38         0.159859            0.749341            0.00259772          0.0439614           
0.02                845.809             0.0438604           0.000325683         5.67365e-05         1.87983e-35         4.67988e-40         2.41999e-37         0.159859            0.749339            0.00259771          0.0439612           
0.025               853.74              0.0438574           0.000335456         5.29281e-05         4.80508e-35         1.37565e-39         6.70739e-37         0.159859            0.749337            0.0025977           0.0439611           
0.03                860.984             0.0438539           0.000345436         4.97239e-05         1.11534e-34         3.61973e-39         1.6742e-36          0.159858            0.749334            0.00259769          0.0439609           
0.035               867.693             0.04385             0.000355532         4.69701e-05         2.40214e-34         8.73944e-39         3.85243e-36         0.159857            0.749332            0.00259768          0.0439608           
0.04                873.97              0.0438458           0.000365691         4.45643e-05         4.87211e-34         1.96943e-38         8.30508e-36         0.159857            0.749329            0.00259767          0.0439606           
0.045               879.89              0.0438413           0.000375884         4.24352e-05         9.40573e-34         4.19336e-38         1.69691e-35         0.159856            0.749326            0.00259766          0.0439605           
0.05                885.511             0.0438367           0.000386092         4.05312e-05         1.74204e-33         8.5132e-38          3.31445e-35         0.159856            0.749323            0.00259765          0.0439603           
0.055               890.876             0.0438319           0.000396302         3.88137e-05         3.11411e-33         1.65937e-37         6.22942e-35         0.159855            0.74932             0.00259764          0.0439601           
0.06                896.016             0.0438271           0.000406508         3.72532e-05         5.39851e-33         3.12228e-37         1.13239e-34         0.159854            0.749317            0.00259763          0.0439599           
0.065               900.961             0.0438221           0.000416704         3.58265e-05         9.10998e-33         5.69591e-37         1.99912e-34         0.159854            0.749314            0.00259762          0.0439598           
0.07                905.732             0.0438171           0.000426888         3.45153e-05         1.50106e-32         1.01099e-36         3.43894e-34         0.159853            0.749311            0.00259761          0.0439596           
0.075               910.346             0.043812            0.000437057         3.33045e-05         2.42112e-32         1.75103e-36         5.78031e-34         0.159852            0.749308            0.0025976           0.0439594           
0.08                914.82              0.0438068           0.00044721          3.21819e-05         3.83086e-32         2.9666e-36          9.5152e-34          0.159852            0.749305            0.00259759          0.0439592           
0.085               919.166             0.0438016           0.000457348         3.11372e-05         5.95687e-32         4.92652e-36         1.537e-33           0.159851            0.749302            0.00259758          0.0439591           
0.09                923.395             0.0437963           0.000467469         3.01619e-05         9.11694e-32         8.03352e-36         2.44032e-33         0.15985             0.749299            0.00259757          0.0439589           
0.095               927.517             0.043791            0.000477574         2.92487e-05         1.3752e-31          1.2883e-35          3.81382e-33         0.15985             0.749296            0.00259756          0.0439587           
0.1                 931.54              0.0437857           0.000487663         2.83913e-05         2.04677e-31         2.03446e-35         5.87434e-33         0.159849            0.749293            0.00259755          0.0439585           
0.105               935.471             0.0437804           0.000497738         2.75844e-05         3.00885e-31         3.16744e-35         8.92732e-33         0.159849            0.74929             0.00259754          0.0439583           
0.11                939.317             0.043775            0.000507797         2.68234e-05         4.37266e-31         4.86677e-35         1.33989e-32         0.159848            0.749287            0.00259753          0.0439582           
0.115               943.083             0.0437696           0.000517843         2.6104e-05          6.28708e-31         7.38652e-35         1.9878e-32          0.159847            0.749284            0.00259752          0.043958            
0.12                946.775             0.0437642           0.000527876         2.54229e-05         8.9499e-31          1.10831e-34         2.91721e-32         0.159847            0.749281            0.00259751          0.0439578           
0.125               950.398             0.0437587           0.000537895         2.47768e-05         1.2622e-30          1.64518e-34         4.23793e-32         0.159846            0.749278            0.0025975           0.0439576           
0.13                953.954             0.0437533           0.000547903         2.41629e-05         1.76451e-30         2.41763e-34         6.09816e-32         0.159845            0.749275            0.00259748          0.0439574           
0.135               957.449             0.0437478           0.0005579           2.35787e-05         2.44643e-30         3.51919e-34         8.69654e-32         0.159845            0.749271            0.00259747          0.0439573           
0.14                960.885             0.0437423           0.000567886         2.3022e-05          3.36556e-30         5.077e-34           1.22975e-31         0.159844            0.749268            0.00259746          0.0439571           
0.145               964.266             0.0437368           0.000577863         2.24909e-05         4.59601e-30         7.26266e-34         1.72509e-31         0.159843            0.749265            0.00259745          0.0439569           
0.15                967.594             0.0437313           0.00058783          2.19834e-05         6.23269e-30         1.03063e-33         2.40168e-31         0.159843            0.749262            0.00259744          0.0439567           
0.155               970.873             0.0437258           0.000597788         2.14981e-05         8.39641e-30         1.45146e-33         3.31967e-31         0.159842            0.749259            0.00259743          0.0439565           
0.16                974.103             0.0437203           0.000607739         2.10333e-05         1.12403e-29         2.02941e-33         4.55728e-31         0.159841            0.749256            0.00259742          0.0439563           
0.165               977.289             0.0437147           0.000617682         2.05878e-05         1.49577e-29         2.81802e-33         6.21571e-31         0.159841            0.749253            0.00259741          0.0439562           
0.17                980.431             0.0437092           0.000627618         2.01604e-05         1.9791e-29          3.8875e-33          8.42525e-31         0.15984             0.74925             0.0025974           0.043956            
0.175               983.531             0.0437036           0.000637547         1.97499e-05         2.60439e-29         5.32938e-33         1.13528e-30         0.159839            0.749247            0.00259739          0.0439558           
0.18                986.592             0.0436981           0.000647471         1.93553e-05         3.40942e-29         7.26246e-33         1.52113e-30         0.159839            0.749244            0.00259738          0.0439556           
0.185               989.615             0.0436925           0.00065739          1.89756e-05         4.44109e-29         9.84016e-33         2.0271e-30          0.159838            0.74924             0.00259737          0.0439554           
0.19                992.602             0.0436869           0.000667303         1.86101e-05         5.75736e-29         1.32598e-32         2.68739e-30         0.159837            0.749237            0.00259736          0.0439553           
